epoch,train_loss,val_auc,val_acc,val_f1
1,0.21845505222703399,0.999330146201814,0.9644444444444444,0.9639984303282956
2,0.088311403898787,0.9993839054138322,0.9638888888888889,0.9631135248565798
3,0.04881581803764076,0.9993646846088435,0.9716666666666667,0.970251804890086
4,0.03467935097247028,0.9996317314909297,0.9779629629629629,0.9771149760655696
5,0.03589199705007242,0.999622286904762,0.9779629629629629,0.9772636508446375
6,0.030291726106102933,0.9994218016298186,0.9755555555555555,0.9746628685996077
7,0.023446400603161284,0.9994373643140589,0.9757407407407407,0.9745832475810803
8,0.02494037666961995,0.9994333829931972,0.9648148148148148,0.9642871471083441
9,0.017909839310415024,0.9995661827947846,0.9787037037037037,0.9778879730077653
10,0.01927786981250146,0.9994753807256236,0.9729629629629629,0.9723703008725005
