epoch,train_loss,val_auc,val_acc,val_f1
1,0.25405071942725055,0.999367660175737,0.9712962962962963,0.9703194240965741
2,0.08556510170436324,0.9995673738662132,0.9737037037037037,0.9727634256902288
3,0.0537047554944073,0.9994436210034013,0.975925925925926,0.9745014619068513
4,0.04077249312784772,0.9995707070011338,0.9757407407407407,0.9750782554622249
5,0.03601558203237721,0.9993793695861678,0.9696296296296296,0.9688028149748869
6,0.03043838659553141,0.9996627537981858,0.9807407407407407,0.9800481801574914
7,0.01993361008505206,0.9996107905612244,0.9744444444444444,0.9734852299233001
8,0.0229713815957922,0.9995298980158729,0.975,0.9742425062571745
9,0.025122292010130734,0.9995730404761904,0.9753703703703703,0.9746870404883197
10,0.01936480480999892,0.9995679893424037,0.9748148148148148,0.9736899179205215
