epoch,train_loss,val_auc,val_acc,val_f1
1,0.18126153646118925,0.9993254428287983,0.9679629629629629,0.9667225664260645
2,0.06022575093906408,0.9995599682539684,0.9746296296296296,0.9735748291785749
3,0.04200639929959248,0.9996318741780044,0.9722222222222222,0.9715969842607922
4,0.044914190396585764,0.9994716465702949,0.9738888888888889,0.972404873474653
5,0.030121074975920287,0.9995405950396824,0.9781481481481481,0.9771859273825795
6,0.024327133676577312,0.9995347034438776,0.9779629629629629,0.9774461398106442
7,0.0220845118558792,0.9991263138605442,0.9572222222222222,0.9572303576192477
8,0.019233879608311386,0.9993788160147392,0.9761111111111112,0.9753694192152322
9,0.02882356347363815,0.9994629557539682,0.9688888888888889,0.9681424302302803
10,0.014973768562545516,0.9995058897534014,0.9814814814814815,0.9806907228479863
