epoch,train_loss,val_auc,val_acc,val_f1
1,0.2174784243595353,0.9990242450396825,0.9425925925925925,0.9404658076333254
2,0.08330828740179551,0.9991466584467121,0.9568518518518518,0.9562032733054483
3,0.05256555083975221,0.9994203635204082,0.9711111111111111,0.9700990585512509
4,0.038674400714458504,0.9995439971797053,0.9755555555555555,0.9745677528995008
5,0.02862185921289331,0.9994889123866214,0.9774074074074074,0.9765332646954296
6,0.033888053770063604,0.9994659949546485,0.9677777777777777,0.9667439490512567
7,0.023880934393612115,0.9994669209892291,0.9727777777777777,0.9721332231076779
8,0.02467070871317214,0.9994946877834467,0.9738888888888889,0.9728916020981921
9,0.019000725007747764,0.9994262756377552,0.9738888888888889,0.9733011461555886
10,0.020639277149809093,0.9993916736252834,0.9792592592592593,0.978495841932814
