epoch,train_loss,val_auc,val_acc,val_f1
1,1.0948433233094095,0.9691491643140591,0.7737037037037037,0.7580158997767061
2,0.5695955574815044,0.9850796503968253,0.8422222222222222,0.8361433717952282
3,0.410609132255697,0.9932326289399093,0.8892592592592593,0.8861822465433242
4,0.2967109932499589,0.9924612383786847,0.8962962962962963,0.8910407113038172
5,0.253721043773235,0.995854407142857,0.9209259259259259,0.9164898653911386
6,0.20515486861180432,0.9962699867346938,0.9237037037037037,0.9216681652220954
7,0.18698831374698685,0.9966624378684807,0.9331481481481482,0.9301987283754624
8,0.1603294809612047,0.9976734820861679,0.9409259259259259,0.9383923990084039
9,0.15344505131405395,0.996435664314059,0.9359259259259259,0.9338221244289254
10,0.12822712797595917,0.9967910279761905,0.9383333333333334,0.9358585232004595
