epoch,train_loss,val_auc,val_acc,val_f1
1,0.25974221258107477,0.999094096456916,0.9703703703703703,0.9694686269182933
2,0.08652869090611232,0.9996337846371881,0.9772222222222222,0.9766078270261149
3,0.05453550191706459,0.9994658756235827,0.9729629629629629,0.9721210795176993
4,0.03991076597441996,0.9991707221938775,0.9731481481481481,0.9722962241450054
5,0.037756754236997855,0.9991103225481858,0.9701851851851852,0.9694205762524224
6,0.02708508994545734,0.9994865928287983,0.9777777777777777,0.9770809271138863
7,0.0252244650783583,0.9995413264455781,0.9727777777777777,0.9722226801214363
8,0.018847803252063852,0.9993540012755101,0.9735185185185186,0.9724010864199336
9,0.01750454213145203,0.999073532681406,0.9696296296296296,0.9691031894033166
10,0.026050206412369773,0.9995243811507937,0.9737037037037037,0.9730147181185782
